"","H","C","D"
"2738753",0.999988988974829,1.08692205708916e-05,"3"
"2738754",0.999994859389311,5.07327941884933e-06,"3"
"2738755",0.999995604076134,4.33845608506601e-06,"3"
"2738756",0.999990472647331,9.40207347363513e-06,"3"
"2738757",0.999990957304182,8.91996966442021e-06,"3"
"2738758",0.999972801298591,2.6872744094874e-05,"3"
"2738759",0.999993609145585,6.30726985664007e-06,"3"
"2738760",0.999955892343238,4.34886256837183e-05,"3"
"2738761",0.99998807851834,1.17568999538816e-05,"3"
"2738762",0.999986120397087,1.3702925158561e-05,"3"
"2738763",0.999984889651378,1.4910021043579e-05,"3"
"2738764",0.999959612595283,3.98530484023226e-05,"3"
"2738765",0.999970057404207,2.9556092211544e-05,"3"
"2738766",0.999982087145917,1.76789288159693e-05,"3"
"2738767",0.999945978946081,5.33844913626999e-05,"3"
"2738768",0.99998735434198,1.2485813528999e-05,"3"
"2738769",0.999964291335408,3.52330957063715e-05,"3"
"2738770",0.999988907114452,1.0942144067279e-05,"3"
"2738771",0.999993048036862,6.86355299781977e-06,"3"
"2738772",0.999993208743075,6.69507530091206e-06,"3"
"2738773",0.999997530129194,2.43721794328937e-06,"3"
"2738774",0.999979538196626,2.01954542261641e-05,"3"
"2738775",0.99998178948227,1.79768001417199e-05,"3"
"2738776",0.999982130183091,1.76377026073447e-05,"3"
"2738777",0.999978532922816,2.11924476085554e-05,"3"
"2738778",0.999964634259852,3.49051834196321e-05,"3"
"2738779",0.999972976859452,2.67133955786311e-05,"3"
"2738780",0.999979728063737,1.99996865382664e-05,"3"
"2738781",0.999991343533426,8.53993350332038e-06,"3"
"2738782",0.999945990268641,5.32991885908537e-05,"3"
"2738783",0.999981935730566,1.78409681885611e-05,"3"
"2738784",0.9999951672547,4.77090665479306e-06,"3"
"2738785",0.999980410028447,1.93306115332193e-05,"3"
"2738786",0.999929041286756,7.00218314405165e-05,"3"
"2738787",0.99998055489198,1.91889063761818e-05,"3"
"2738788",0.999989071349052,1.07856174794314e-05,"3"
"2738789",0.99999269259252,7.20265558984324e-06,"3"
"2738790",0.999979536551412,2.01695404265527e-05,"3"
"2738791",0.999993586954506,6.3302041496864e-06,"3"
"2738792",0.999978492695474,2.12249091289429e-05,"3"
"2738793",0.999987897138136,1.19420943873489e-05,"3"
"2738794",0.999990818111387,9.06322556069671e-06,"3"
"2738795",0.999985068703206,1.47315538491805e-05,"3"
"2738796",0.999999615474987,3.794985259199e-07,"3"
"2738797",0.999974256906165,2.54345942586184e-05,"3"
"2738798",0.999978771680977,2.09506833943795e-05,"3"
"2738799",0.999995798035247,4.14983338052931e-06,"3"
"2738800",0.999961487152459,3.80354961857224e-05,"3"
"2738801",0.999996442035694,3.51315219114967e-06,"3"
"2738802",0.999996056855306,3.8929564440095e-06,"3"
"2738803",0.999949094529997,5.02332851975593e-05,"3"
"2738804",0.999969772848949,2.98298326474823e-05,"3"
"2738805",0.999970904541394,2.86994603209932e-05,"3"
"2738806",0.999996918604677,3.04102900204233e-06,"3"
"2738807",0.999994137110516,5.78683763607002e-06,"3"
"2738808",0.999967106687852,3.24624674191964e-05,"3"
"2738809",0.999992921452024,6.98284870309765e-06,"3"
"2738810",0.999990206462792,9.66587912198169e-06,"3"
"2738811",0.999985618770601,1.41810776299112e-05,"3"
"2738812",0.999982560125879,1.72121308690075e-05,"3"
"2738813",0.999984232414259,1.55590003681501e-05,"3"
"2738814",0.999983744543212,1.60438769531642e-05,"3"
"2738815",0.99999308294093,6.82774791941388e-06,"3"
"2738816",0.999977279475635,2.24172202196682e-05,"3"
"2738817",0.999984125131534,1.56702241264909e-05,"3"
"2738818",0.99999334478149,6.56442186206023e-06,"3"
"2738819",0.999989854948956,1.00216493091578e-05,"3"
"2738820",0.999998180505852,1.79572510122119e-06,"3"
"2738821",0.999976058591214,2.36117235416243e-05,"3"
"2738822",0.999975701911194,2.39816613716811e-05,"3"
"2738823",0.999968576039698,3.10132081854844e-05,"3"
"2738824",0.999985083739168,1.47185673297006e-05,"3"
"2738825",0.99999557845428,4.36250000992445e-06,"3"
"2738826",0.999976939180674,2.27814900706376e-05,"3"
"2738827",0.999986698176795,1.31405028032676e-05,"3"
"2738828",0.999994394018307,5.53146895424693e-06,"3"
"2738829",0.999976281630265,2.34177170381528e-05,"3"
"2738830",0.999967736237483,3.1832711683229e-05,"3"
"2738831",0.999899159331505,9.95316342593063e-05,"3"
"2738832",0.999997959626558,2.01362284078909e-06,"3"
"2738833",0.999971597819497,2.80725650106296e-05,"3"
"2738834",0.999993041785748,6.87546049731861e-06,"3"
"2738835",0.999980221403454,1.95192967256273e-05,"3"
"2738836",0.999986008189857,1.38181134417886e-05,"3"
"2738837",0.999995158577323,4.77516053201303e-06,"3"
"2738838",0.999982890542684,1.68869595555735e-05,"3"
"2738839",0.999989214112867,1.0648343748218e-05,"3"
"2738840",0.99999448138251,5.4437883905153e-06,"3"
"2738841",0.9999809531282,1.88056452828796e-05,"3"
"2738842",0.999972437918121,2.71964540815415e-05,"3"
"2738843",0.999975450463266,2.42521439523129e-05,"3"
"2738844",0.999973881045958,2.57952681530635e-05,"3"
"2738845",0.999918896404724,7.99673274975708e-05,"3"
"2738846",0.99998642085703,1.33956782106712e-05,"3"
"2738847",0.99998398113466,1.58053811598442e-05,"3"
"2738848",0.999989011885089,1.08445552469305e-05,"3"
"2738849",0.999958437111231,4.10207044740751e-05,"3"
"2738850",0.99998166352078,1.80924896903603e-05,"3"
"2738851",0.999997527820385,2.43865365678601e-06,"3"
"2738852",0.999996971884622,2.98859993457083e-06,"3"
"2738853",0.999973868747961,2.5771248839305e-05,"3"
"2738854",0.999990617533119,9.27091144015272e-06,"3"
"2738855",0.9999926064552,7.29577393997983e-06,"3"
"2738856",0.999993308421006,6.60237718283936e-06,"3"
"2738857",0.99996753877782,3.19578723295604e-05,"3"
"2738858",0.99999349882946,6.41239991744504e-06,"3"
"2738859",0.999971442198529,2.81818054944872e-05,"3"
"2738860",0.999997231186705,2.73299467751986e-06,"3"
"2738861",0.999983154175296,1.66190160498572e-05,"3"
"2738862",0.9999881109143,1.17400106701847e-05,"3"
"2738863",0.999980399893685,1.93350355549974e-05,"3"
"2738864",0.999946098846558,5.31687930967783e-05,"3"
"2738865",0.999977627838693,2.2095954233554e-05,"3"
"2738866",0.999997620151915,2.34824620531237e-06,"3"
"2738867",0.999984670461244,1.51399780868617e-05,"3"
"2738868",0.999949114002931,5.02665687472807e-05,"3"
"2738869",0.999955643302966,4.38287662972344e-05,"3"
"2738870",0.999956247122046,4.31545534476911e-05,"3"
"2738871",0.999982684879177,1.70915809516728e-05,"3"
"2738872",0.999978370344422,2.13577487632921e-05,"3"
"2738873",0.999981050147753,1.86924182064768e-05,"3"
"2738874",0.999983348116006,1.64284478748492e-05,"3"
"2738875",0.999916287875691,8.27349754954644e-05,"3"
"2738876",0.999973070865553,2.66072463130338e-05,"3"
"2738877",0.999996599509478,3.35672141767176e-06,"3"
"2738878",0.999992883463577,7.02057238633069e-06,"3"
"2738879",0.999991193136319,8.70176985993889e-06,"3"
"2738880",0.999988850187248,1.1004591847347e-05,"3"
"2738881",0.999975955843508,2.37294223071302e-05,"3"
"2738882",0.999988801676956,1.10433612787862e-05,"3"
"2738883",0.999974774421496,2.49243758582953e-05,"3"
"2738884",0.999976706324868,2.29781300435458e-05,"3"
"2738885",0.999935713174357,6.32887884287263e-05,"3"
"2738886",0.999992967884908,6.94187644662204e-06,"3"
"2738887",0.999985008355774,1.48050508375304e-05,"3"
"2738888",0.99999105903318,8.81896079900777e-06,"3"
"2738889",0.999994599347973,5.33593613728886e-06,"3"
"2738890",0.999988858730792,1.09952594815726e-05,"3"
"2738891",0.999992267049893,7.63690711341275e-06,"3"
"2738892",0.999992533916888,7.37010590208519e-06,"3"
"2738893",0.999966726212475,3.28312416941611e-05,"3"
"2738894",0.999984422496478,1.53675253273245e-05,"3"
"2738895",0.999994484412191,5.44326967452698e-06,"3"
"2738896",0.999990638154677,9.2403729412771e-06,"3"
